Korean,English
것,that
하다,Do
있다,have
되다,become
나,I
없다,none
사람,Person
우리,Us
아니다,no
같다,same
대하다,treat
년,year
때문,because
말하다,say
위하다,for
그러나,But
알다,know
그렇다,Yes
또,In addition
사회,Social
많다,many
좋다,good
더,more
받다,Receive
그것,that
집,House
나오다,come out
그리고,And
문제,Problem
그런,then
살다,live
생각하다,Think
모르다,I do not know
속,genus
만들다,to make
데,place
두,two
앞,front
경우,Occation
중,medium
어떤,which
잘,well
그녀,she
오다,come
문화,culture
생각,think
어떻다,how
명,persons
통하다,pass
그러다,Then
소리,sound
다시,again
다른,Different
이런,this
여자,Woman
정도,Degree
뒤,rear
듣다,Listen
좀,A little
싶다,want
함께,together
지나다,pass by
많이,A lot of
너,you
주다,give
인간,human
이렇다,Yireotda
어머니,Mother
의하다,be due to
시대,era
다음,next
이러하다,Yireohada
누구,who
곳,place
여러,Various
세계,World
운동,Exercise
퍼센트,percent
학교,school
대통령,President
시작하다,Start
바로,Right away
어느,which
무엇,what
정부,government
모든,all
번,time
그거,that
돈,money
국가,country
그런데,By the way
날,day
여기,here
여성,female
친구,friend
마음,mind
후,after
가다,go
관계,relation
아버지,father
남자,man
몸,body
얼굴,Face
들어가다,go in
왜,Why
나타나다,appear
지역,area
다르다,different
모습,shape
물,water
만나다,meet
보이다,show
이것,this
없이,without
이번,this time
길,way
생활,life
뿐,only
사이,between
방법,Way
새롭다,new
우리나라,our country
내다,Pay
앉다,Sit
처음,first
손,hand
그때,then
삶,Life
찾다,find
특히,Especially
지금,now
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,Catch
같이,together
선생님,Teacher
예술,art
서다,stand
역사,history
읽다,read
결과,result
내용,Contents
동안,During
책,book
일어나다,Rise
당신,you
넣다,put in
중요하다,It is important
무슨,what
느끼다,feel
어렵다,It is difficult
힘,power
너무,Too
나라,country
의미,meaning
밝히다,clarify
이미,already
정치,politics
국민,nation
생명,life
얘기,story
학생,student
연구,Research
엄마,Mom
이름,name
하나,one
내리다,take off
사건,Event
및,And
쉽다,easy
짓다,build
또한,Also
이유,Reason
또는,or
필요하다,need
글,Posts
생기다,to happen
사용하다,use
남편,husband
들어오다,come in
밖,Out
세상,world
작다,small
대학,University
작품,Work
상황,situation
가운데,middle
보내다,send
즉,In other words
따라서,therefore
상태,state
이후,after
당시,Time
문학,literature
더욱,More
아주,very
높다,high